"Sex of employee";"Type of employment contract";"Other characteristics employee";"Industry class / branch (SIC2008)";"Periods";"Employment/Jobs (x 1 000)"
"Total";"Total";"55 to 59 years";"R-U Culture, recreation, other services";"2020";"      25"
"Total";"Total";"55 to 59 years";"R Culture, sports and recreation";"2020";"      12"
"Total";"Total";"55 to 59 years";"S Other service activities";"2020";"      13"
"Total";"Total";"60 to 64 years";"A-U All economic activities";"2020";"     626"
"Total";"Total";"60 to 64 years";"A-F Agriculture and industry";"2020";"     116"
"Total";"Total";"60 to 64 years";"A Agriculture, forestry and fishing";"2020";"       6"
"Total";"Total";"60 to 64 years";"B-F Manifacturing and energy";"2020";"     110"
"Total";"Total";"60 to 64 years";"B-E Industry (no construction), energy";"2020";"      83"
"Total";"Total";"60 to 64 years";"B Mining and quarrying ";"2020";"       1"
"Total";"Total";"60 to 64 years";"C Manufacturing";"2020";"      76"
"Total";"Total";"60 to 64 years";"D Energy supply";"2020";"       3"
"Total";"Total";"60 to 64 years";"E Water supply and waste management";"2020";"       4"
"Total";"Total";"60 to 64 years";"F Construction";"2020";"      27"
"Total";"Total";"60 to 64 years";"G-N Commercial services";"2020";"     232"
"Total";"Total";"60 to 64 years";"G-I Trade, transport, hotels, catering";"2020";"     117"
"Total";"Total";"60 to 64 years";"G Wholesale and retail trade";"2020";"      66"
"Total";"Total";"60 to 64 years";"H Transportation and storage";"2020";"      40"
"Total";"Total";"60 to 64 years";"I Accommodation and food serving";"2020";"      12"
"Total";"Total";"60 to 64 years";"J Information and communication";"2020";"      12"
"Total";"Total";"60 to 64 years";"K Financial institutions";"2020";"      20"
"Total";"Total";"60 to 64 years";"L Renting, buying, selling real estate";"2020";"       6"
"Total";"Total";"60 to 64 years";"M-N Business services";"2020";"      77"
"Total";"Total";"60 to 64 years";"M Other specialised business services";"2020";"      30"
"Total";"Total";"60 to 64 years";"N Renting and other business support";"2020";"      46"
"Total";"Total";"60 to 64 years";"O-U Noncommercial services";"2020";"     277"
"Total";"Total";"60 to 64 years";"O-Q Government and care";"2020";"     258"
"Total";"Total";"60 to 64 years";"O Public administration and services";"2020";"      64"
"Total";"Total";"60 to 64 years";"P Education";"2020";"      60"
"Total";"Total";"60 to 64 years";"Q Health and social work activities";"2020";"     135"
"Total";"Total";"60 to 64 years";"R-U Culture, recreation, other services";"2020";"      20"
"Total";"Total";"60 to 64 years";"R Culture, sports and recreation";"2020";"       9"
"Total";"Total";"60 to 64 years";"S Other service activities";"2020";"      10"
"Total";"Total";"65 to 74 years";"A-U All economic activities";"2020";"     193"
"Total";"Total";"65 to 74 years";"A-F Agriculture and industry";"2020";"      32"
"Total";"Total";"65 to 74 years";"A Agriculture, forestry and fishing";"2020";"       3"
"Total";"Total";"65 to 74 years";"B-F Manifacturing and energy";"2020";"      29"
"Total";"Total";"65 to 74 years";"B-E Industry (no construction), energy";"2020";"      21"
"Total";"Total";"65 to 74 years";"B Mining and quarrying ";"2020";"       0"
"Total";"Total";"65 to 74 years";"C Manufacturing";"2020";"      19"
"Total";"Total";"65 to 74 years";"D Energy supply";"2020";"       1"
"Total";"Total";"65 to 74 years";"E Water supply and waste management";"2020";"       1"
"Total";"Total";"65 to 74 years";"F Construction";"2020";"       8"
"Total";"Total";"65 to 74 years";"G-N Commercial services";"2020";"      99"
"Total";"Total";"65 to 74 years";"G-I Trade, transport, hotels, catering";"2020";"      50"
"Total";"Total";"65 to 74 years";"G Wholesale and retail trade";"2020";"      27"
"Total";"Total";"65 to 74 years";"H Transportation and storage";"2020";"      17"
"Total";"Total";"65 to 74 years";"I Accommodation and food serving";"2020";"       5"
"Total";"Total";"65 to 74 years";"J Information and communication";"2020";"       3"
"Total";"Total";"65 to 74 years";"K Financial institutions";"2020";"      10"
"Total";"Total";"65 to 74 years";"L Renting, buying, selling real estate";"2020";"       3"
"Total";"Total";"65 to 74 years";"M-N Business services";"2020";"      34"
"Total";"Total";"65 to 74 years";"M Other specialised business services";"2020";"      13"
"Total";"Total";"65 to 74 years";"N Renting and other business support";"2020";"      21"
"Total";"Total";"65 to 74 years";"O-U Noncommercial services";"2020";"      62"
"Total";"Total";"65 to 74 years";"O-Q Government and care";"2020";"      54"
"Total";"Total";"65 to 74 years";"O Public administration and services";"2020";"      13"
